2022, 1, 7, FC Bayern Munich, 1:2, Borussia Monchengladbach, NULL, NULL
2022, 3, 6, 1. FC Cologne, 0:1, TSG 1899 Hoffenheim, 37500, NULL
2022, 3, 16, 1. FSV Mainz 05, 0:1, Borussia Dortmund, 25000, NULL
2022, 3, 12, Freiburg, 3:2, VfL Wolfsburg, 25000, NULL
2022, 3, 12, 1. FC Union Berlin, 1:1, Stuttgart, 16509, NULL
2022, 3, 12, TSG 1899 Hoffenheim, 1:1, FC Bayern Munich, 25600, NULL
2022, 3, 12, Borussia Monchengladbach, 2:0, Hertha BSC, 30675, NULL
2022, 3, 13, Bayer 04 Leverkusen, 0:1, 1. FC Cologne, 22658, NULL
2022, 3, 13, Borussia Dortmund, 1:0, Arminia Bielefeld, 33000, NULL
2022, 3, 13, Eintracht Frankfurt, 2:1, VfL Bochum, 24000, NULL
2022, 3, 13, SpVgg Greuther Fürth, 1:6, RB Leipzig, 9418, NULL
2022, 3, 18, VfL Bochum, 0:2, Borussia Monchengladbach, NULL, NULL
2022, 3, 19, Hertha BSC, 3:0, TSG 1899 Hoffenheim, 25000, NULL
2022, 3, 19, Stuttgart, 3:2, FC Augsburg, 55785, NULL
2022, 3, 19, SpVgg Greuther Fürth, 0:0, Freiburg, 9884, NULL
2022, 3, 19, 1. FSV Mainz 05, 4:0, Arminia Bielefeld, 25000, NULL
2022, 3, 19, FC Bayern Munich, 4:0, 1. FC Union Berlin, 37000, NULL
2022, 3, 20, RB Leipzig, 0:0, Eintracht Frankfurt, 43058, NULL
2022, 3, 20, VfL Wolfsburg, 0:2, Bayer 04 Leverkusen, 16554, NULL
2022, 3, 20, 1. FC Cologne, 1:1, Borussia Dortmund, 50000, NULL
2022, 4, 6, FC Augsburg, 2:1, 1. FSV Mainz 05, 18122, NULL
2022, 4, 1, 1. FC Union Berlin, 1:0, 1. FC Cologne, 22012, NULL
2022, 4, 2, Freiburg, 1:4, FC Bayern Munich, 34700, NULL
2022, 4, 2, Bayer 04 Leverkusen, 2:1, Hertha BSC, 23557, NULL
2022, 4, 2, TSG 1899 Hoffenheim, 1:2, VfL Bochum, 15014, NULL
2022, 4, 2, Eintracht Frankfurt, 0:0, SpVgg Greuther Fürth, 50500, NULL
2022, 4, 2, Arminia Bielefeld, 1:1, Stuttgart, 26011, NULL
2022, 4, 2, Borussia Dortmund, 1:4, RB Leipzig, 81365, NULL
2022, 4, 3, FC Augsburg, 3:0, VfL Wolfsburg, 23143, NULL
2022, 4, 3, Borussia Monchengladbach, 1:1, 1. FSV Mainz 05, 44156, NULL
2022, 4, 8, Stuttgart, 0:2, Borussia Dortmund, 58248, NULL
2022, 4, 9, SpVgg Greuther Fürth, 0:2, Borussia Monchengladbach, 13900, NULL
2022, 4, 9, FC Bayern Munich, 1:0, FC Augsburg, 75000, NULL
2022, 4, 9, 1. FC Cologne, 3:2, 1. FSV Mainz 05, 49800, NULL
2022, 4, 9, VfL Wolfsburg, 4:0, Arminia Bielefeld, 22512, NULL
2022, 4, 9, Hertha BSC, 1:4, 1. FC Union Berlin, 74667, NULL
2022, 4, 10, VfL Bochum, 0:0, Bayer 04 Leverkusen, 25000, NULL
2022, 4, 10, Eintracht Frankfurt, 1:2, Freiburg, 47000, NULL
2022, 4, 10, RB Leipzig, 3:0, TSG 1899 Hoffenheim, 35112, NULL
2022, 4, 16, Borussia Dortmund, 6:1, VfL Wolfsburg, 79200, NULL
2022, 4, 16, FC Augsburg, 0:1, Hertha BSC, 28533, NULL
2022, 4, 16, 1. FSV Mainz 05, 0:0, Stuttgart, 30128, NULL
2022, 4, 16, Freiburg, 3:0, VfL Bochum, 34000, NULL
2022, 4, 16, Borussia Monchengladbach, 1:3, 1. FC Cologne, 54042, NULL
2022, 4, 17, Arminia Bielefeld, 0:3, FC Bayern Munich, 26419, NULL
2022, 4, 17, 1. FC Union Berlin, 2:0, Eintracht Frankfurt, 22012, NULL
2022, 4, 17, TSG 1899 Hoffenheim, 0:0, SpVgg Greuther Fürth, 16110, NULL
2022, 4, 17, Bayer 04 Leverkusen, 0:1, RB Leipzig, 26119, NULL
2022, 4, 22, VfL Wolfsburg, 5:0, 1. FSV Mainz 05, 19055, NULL
2022, 4, 23, RB Leipzig, 1:2, 1. FC Union Berlin, 45770, NULL
2022, 4, 23, Freiburg, 3:3, Borussia Monchengladbach, 34700, NULL
2022, 4, 23, 1. FC Cologne, 3:1, Arminia Bielefeld, 50000, NULL
2022, 4, 23, SpVgg Greuther Fürth, 1:4, Bayer 04 Leverkusen, 11579, NULL
2022, 4, 23, Eintracht Frankfurt, 2:2, TSG 1899 Hoffenheim, 50500, NULL
2022, 4, 23, FC Bayern Munich, 3:1, Borussia Dortmund, 75000, NULL
2022, 4, 24, VfL Bochum, 0:2, FC Augsburg, 23500, NULL
2022, 4, 24, Hertha BSC, 2:0, Stuttgart, 54589, NULL
2022, 4, 29, 1. FC Union Berlin, 1:1, SpVgg Greuther Fürth, 22012, NULL
2022, 4, 30, Borussia Dortmund, 3:4, VfL Bochum, 81365, NULL
2022, 4, 30, Arminia Bielefeld, 1:1, Hertha BSC, 26021, NULL
2022, 4, 30, 1. FSV Mainz 05, 3:1, FC Bayern Munich, 33305, NULL
2022, 4, 30, Stuttgart, 1:1, VfL Wolfsburg, 52230, NULL
2022, 4, 30, FC Augsburg, 1:4, 1. FC Cologne, 29511, NULL
2022, 4, 30, TSG 1899 Hoffenheim, 3:4, Freiburg, 23627, NULL
2022, 5, 2, Borussia Monchengladbach, 3:1, RB Leipzig, 35324, NULL
2022, 5, 2, Bayer 04 Leverkusen, 2:0, Eintracht Frankfurt, 26492, NULL
2022, 5, 6, VfL Bochum, 2:1, Arminia Bielefeld, 25000, NULL
2022, 5, 7, Freiburg, 1:4, 1. FC Union Berlin, 34700, NULL
2022, 5, 7, TSG 1899 Hoffenheim, 2:4, Bayer 04 Leverkusen, 20033, NULL
2022, 5, 7, 1. FC Cologne, 0:1, VfL Wolfsburg, 50000, NULL
2022, 5, 7, SpVgg Greuther Fürth, 1:3, Borussia Dortmund, 16626, NULL
2022, 5, 7, Hertha BSC, 1:2, 1. FSV Mainz 05, 71548, NULL
2022, 5, 8, Eintracht Frankfurt, 1:1, Borussia Monchengladbach, 51500, NULL
2022, 5, 8, FC Bayern Munich, 2:2, Stuttgart, 75000, NULL
2022, 5, 8, RB Leipzig, 4:0, FC Augsburg, 37029, NULL
2022, 5, 14, Stuttgart, 2:1, 1. FC Cologne, 52230, Mercedes-Benz Arena
2022, 5, 14, Bayer 04 Leverkusen, 2:1, Freiburg, 30210, BayArena
2022, 5, 14, VfL Wolfsburg, 2:2, FC Bayern Munich, 30000, Volkswagen Arena
2022, 5, 14, Borussia Dortmund, 2:1, Hertha BSC, 80500, Signal Iduna Park
2022, 5, 14, FC Augsburg, 2:1, SpVgg Greuther Fürth, 27907, WWK Arena
2022, 5, 14, 1. FSV Mainz 05, 2:2, Eintracht Frankfurt, 33000, Mewa Arena
2022, 5, 14, Arminia Bielefeld, 1:1, RB Leipzig, 22719, SchücoArena
2022, 5, 14, 1. FC Union Berlin, 3:2, VfL Bochum, 22012, Stadion An der Alten Försterei
2022, 5, 14, Borussia Monchengladbach, 5:1, TSG 1899 Hoffenheim, 50395, Borussia-Park
2022, 8, 5, Eintracht Frankfurt, 1:6, FC Bayern Munich, 51500, Deutsche Bank Park
2022, 8, 6, VfL Bochum, 1:2, 1. FSV Mainz 05, 24110, Vonovia Ruhrstadion
2022, 8, 6, VfL Wolfsburg, 2:2, Werder Bremen, 28015, Volkswagen Arena
2022, 8, 6, Borussia Monchengladbach, 3:1, TSG 1899 Hoffenheim, 49659, Borussia-Park
2022, 8, 6, 1. FC Union Berlin, 3:1, Hertha BSC, 22012, Stadion An der Alten Försterei
2022, 8, 6, FC Augsburg, 0:4, Freiburg, 25310, WWK Arena
2022, 8, 6, Borussia Dortmund, 1:0, Bayer 04 Leverkusen, 81365, Signal Iduna Park
2022, 8, 7, Stuttgart, 1:1, RB Leipzig, 46000, Mercedes-Benz Arena
2022, 8, 7, 1. FC Cologne, 3:1, FC Schalke 04, 50000, RheinEnergieSTADION
2022, 8, 12, Freiburg, 1:3, Borussia Dortmund, 34700, Europa-Park Stadion
2022, 8, 13, Bayer 04 Leverkusen, 1:2, FC Augsburg, 22903, BayArena
2022, 8, 13, Werder Bremen, 2:2, Stuttgart, 41000, Weser-Stadion
2022, 8, 13, Hertha BSC, 1:1, Eintracht Frankfurt, 44694, Olympiastadion Berlin
2022, 8, 13, TSG 1899 Hoffenheim, 3:2, VfL Bochum, 17005, PreZero Arena
2022, 8, 13, RB Leipzig, 2:2, 1. FC Cologne, 43579, Red Bull Arena
2022, 8, 13, FC Schalke 04, 2:2, Borussia Monchengladbach, 62271, Veltins-Arena
2022, 8, 14, 1. FSV Mainz 05, 0:0, 1. FC Union Berlin, 25009, Mewa Arena
2022, 8, 14, FC Bayern Munich, 2:0, VfL Wolfsburg, 75000, Allianz Arena
2022, 8, 19, Borussia Monchengladbach, 1:0, Hertha BSC, 48411, Borussia-Park
2022, 8, 20, Stuttgart, 0:1, Freiburg, 47500, Mercedes-Benz Arena
2022, 8, 20, Borussia Dortmund, 2:3, Werder Bremen, 81365, Signal Iduna Park
2022, 8, 20, VfL Wolfsburg, 0:0, FC Schalke 04, 26959, Volkswagen Arena
2022, 8, 20, FC Augsburg, 1:2, 1. FSV Mainz 05, 23755, WWK Arena
2022, 8, 20, Bayer 04 Leverkusen, 0:3, TSG 1899 Hoffenheim, 26300, BayArena
2022, 8, 20, 1. FC Union Berlin, 2:1, RB Leipzig, 21056, Stadion An der Alten Försterei
2022, 8, 21, Eintracht Frankfurt, 1:1, 1. FC Cologne, 50800, Deutsche Bank Park
2022, 8, 21, VfL Bochum, 0:7, FC Bayern Munich, 26000, Vonovia Ruhrstadion
2022, 8, 26, Freiburg, 1:0, VfL Bochum, 32800, Europa-Park Stadion
2022, 8, 27, RB Leipzig, 2:0, VfL Wolfsburg, 41243, Red Bull Arena
2022, 8, 27, Hertha BSC, 0:1, Borussia Dortmund, 62142, Olympiastadion Berlin
2022, 8, 27, 1. FSV Mainz 05, 0:3, Bayer 04 Leverkusen, 28500, Mewa Arena
2022, 8, 27, TSG 1899 Hoffenheim, 1:0, FC Augsburg, 17206, PreZero Arena
2022, 8, 27, FC Schalke 04, 1:6, 1. FC Union Berlin, 62271, Veltins-Arena
2022, 8, 27, FC Bayern Munich, 1:1, Borussia Monchengladbach, 75000, Allianz Arena
2022, 8, 28, 1. FC Cologne, 0:0, Stuttgart, 50000, RheinEnergieSTADION
2022, 8, 28, Werder Bremen, 3:4, Eintracht Frankfurt, 41000, Weser-Stadion
2022, 9, 2, Borussia Dortmund, 1:0, TSG 1899 Hoffenheim, 79300, Signal Iduna Park
2022, 9, 3, Stuttgart, 1:1, FC Schalke 04, 47500, Mercedes-Benz Arena
2022, 9, 3, VfL Bochum, 0:2, Werder Bremen, 25800, Vonovia Ruhrstadion
2022, 9, 3, Bayer 04 Leverkusen, 2:3, Freiburg, 26853, BayArena
2022, 9, 3, 1. FC Union Berlin, 1:1, FC Bayern Munich, 22012, Stadion An der Alten Försterei
2022, 9, 3, VfL Wolfsburg, 2:4, 1. FC Cologne, 25654, Volkswagen Arena
2022, 9, 3, Eintracht Frankfurt, 4:0, RB Leipzig, 49700, Deutsche Bank Park
2022, 9, 4, FC Augsburg, 0:2, Hertha BSC, 25789, WWK Arena
2022, 9, 4, Borussia Monchengladbach, 0:1, 1. FSV Mainz 05, 51210, Borussia-Park
2022, 9, 9, Werder Bremen, 0:1, FC Augsburg, 41000, Weser-Stadion
2022, 9, 10, Hertha BSC, 2:2, Bayer 04 Leverkusen, 40643, Olympiastadion Berlin
2022, 9, 10, TSG 1899 Hoffenheim, 4:1, 1. FSV Mainz 05, 20114, PreZero Arena
2022, 9, 10, Eintracht Frankfurt, 0:1, VfL Wolfsburg, 49000, Deutsche Bank Park
2022, 9, 10, FC Bayern Munich, 2:2, Stuttgart, 75000, Allianz Arena
2022, 9, 10, RB Leipzig, 3:0, Borussia Dortmund, 47069, Red Bull Arena
2022, 9, 10, FC Schalke 04, 3:1, VfL Bochum, 62041, Veltins-Arena
2022, 9, 11, 1. FC Cologne, 0:1, 1. FC Union Berlin, 49500, RheinEnergieSTADION
2022, 9, 11, Freiburg, 0:0, Borussia Monchengladbach, 34700, Europa-Park Stadion
2022, 9, 16, 1. FSV Mainz 05, 1:1, Hertha BSC, 25300, Mewa Arena
2022, 9, 17, Borussia Dortmund, 1:0, FC Schalke 04, 81100, Signal Iduna Park
2022, 9, 17, Bayer 04 Leverkusen, 1:1, Werder Bremen, 30210, BayArena
2022, 9, 17, FC Augsburg, 1:0, FC Bayern Munich, 30660, WWK Arena
2022, 9, 17, Stuttgart, 1:3, Eintracht Frankfurt, 47500, Mercedes-Benz Arena
2022, 9, 17, Borussia Monchengladbach, 3:0, RB Leipzig, 50186, Borussia-Park
2022, 9, 18, 1. FC Union Berlin, 2:0, VfL Wolfsburg, 22012, Stadion An der Alten Försterei
2022, 9, 18, VfL Bochum, 1:1, 1. FC Cologne, 25800, Vonovia Ruhrstadion
2022, 9, 18, TSG 1899 Hoffenheim, 0:0, Freiburg, 24233, PreZero Arena
2022, 9, 30, FC Bayern Munich, 4:0, Bayer 04 Leverkusen, 75000, Allianz Arena
2022, 10, 1, VfL Wolfsburg, 3:2, Stuttgart, 24125, Volkswagen Arena
2022, 10, 1, 1. FC Cologne, 3:2, Borussia Dortmund, 50000, RheinEnergieSTADION
2022, 10, 1, Freiburg, 2:1, 1. FSV Mainz 05, 34700, Europa-Park Stadion
2022, 10, 1, Eintracht Frankfurt, 2:0, 1. FC Union Berlin, 50500, Deutsche Bank Park
2022, 10, 1, RB Leipzig, 4:0, VfL Bochum, 44403, Red Bull Arena
2022, 10, 1, Werder Bremen, 5:1, Borussia Monchengladbach, 42100, Weser-Stadion
2022, 10, 2, Hertha BSC, 1:1, TSG 1899 Hoffenheim, 41653, Olympiastadion Berlin
2022, 10, 2, FC Schalke 04, 2:3, FC Augsburg, 60328, Veltins-Arena
2022, 10, 7, TSG 1899 Hoffenheim, 1:2, Werder Bremen, 25410, NULL
2022, 10, 8, 1. FSV Mainz 05, 1:1, RB Leipzig, 26100, NULL
2022, 10, 8, FC Augsburg, 1:1, VfL Wolfsburg, 26220, NULL
2022, 10, 8, VfL Bochum, 3:0, Eintracht Frankfurt, 24850, NULL
2022, 10, 8, Bayer 04 Leverkusen, 4:0, FC Schalke 04, 30210, NULL
2022, 10, 8, Borussia Dortmund, 2:2, FC Bayern Munich, 81365, NULL
2022, 10, 9, Borussia Monchengladbach, 5:2, 1. FC Cologne, 54042, NULL
2022, 10, 9, Hertha BSC, 2:2, Freiburg, 40481, NULL
2022, 10, 9, Stuttgart, 0:1, 1. FC Union Berlin, 43250, NULL
2022, 10, 14, FC Schalke 04, 0:3, TSG 1899 Hoffenheim, 59811, NULL
2022, 10, 15, Werder Bremen, 0:2, 1. FSV Mainz 05, 41000, NULL
2022, 10, 15, Stuttgart, 4:1, VfL Bochum, 45400, NULL
2022, 10, 15, VfL Wolfsburg, 2:2, Borussia Monchengladbach, 26701, NULL
2022, 10, 15, Eintracht Frankfurt, 5:1, Bayer 04 Leverkusen, 49700, NULL
2022, 10, 15, RB Leipzig, 3:2, Hertha BSC, 47069, NULL
2022, 10, 16, 1. FC Cologne, 3:2, FC Augsburg, 49000, NULL
2022, 10, 16, 1. FC Union Berlin, 2:0, Borussia Dortmund, 22012, NULL
2022, 10, 16, FC Bayern Munich, 5:0, Freiburg, 75000, NULL
2022, 10, 21, 1. FSV Mainz 05, 5:0, 1. FC Cologne, 31610, NULL
2022, 10, 22, TSG 1899 Hoffenheim, 0:2, FC Bayern Munich, 30150, NULL
2022, 10, 22, Freiburg, 2:0, Werder Bremen, 34700, NULL
2022, 10, 22, Bayer 04 Leverkusen, 2:2, VfL Wolfsburg, 26294, NULL
2022, 10, 22, FC Augsburg, 3:3, RB Leipzig, 25109, NULL
2022, 10, 22, Borussia Dortmund, 5:0, Stuttgart, 81365, NULL
2022, 10, 22, Borussia Monchengladbach, 1:3, Eintracht Frankfurt, 53019, NULL
2022, 10, 23, VfL Bochum, 2:1, 1. FC Union Berlin, 25460, NULL
2022, 10, 23, Hertha BSC, 2:1, FC Schalke 04, 60165, NULL
2022, 10, 28, Werder Bremen, 1:0, Hertha BSC, 42100, NULL
2022, 10, 29, Stuttgart, 2:1, FC Augsburg, 46400, NULL
2022, 10, 29, RB Leipzig, 2:0, Bayer 04 Leverkusen, 45598, NULL
2022, 10, 29, FC Bayern Munich, 6:2, 1. FSV Mainz 05, 75000, NULL
2022, 10, 29, VfL Wolfsburg, 4:0, VfL Bochum, 24037, NULL
2022, 10, 29, Eintracht Frankfurt, 1:2, Borussia Dortmund, 50000, NULL
2022, 10, 30, FC Schalke 04, 0:2, Freiburg, 61115, NULL
2022, 10, 30, 1. FC Cologne, 1:1, TSG 1899 Hoffenheim, 49000, NULL
2022, 10, 30, 1. FC Union Berlin, 2:1, Borussia Monchengladbach, 22012, NULL
2022, 11, 4, Borussia Monchengladbach, 3:1, Stuttgart, 53178, NULL
2022, 11, 5, Hertha BSC, 2:3, FC Bayern Munich, 74667, NULL
2022, 11, 5, TSG 1899 Hoffenheim, 1:3, RB Leipzig, 23127, NULL
2022, 11, 5, FC Augsburg, 1:2, Eintracht Frankfurt, 30087, NULL
2022, 11, 5, Borussia Dortmund, 3:0, VfL Bochum, 81365, NULL
2022, 11, 5, 1. FSV Mainz 05, 0:3, VfL Wolfsburg, 26750, NULL
2022, 11, 5, Werder Bremen, 2:1, FC Schalke 04, 41000, NULL
2022, 11, 6, Bayer 04 Leverkusen, 5:0, 1. FC Union Berlin, 30210, NULL
2022, 11, 6, Freiburg, 2:0, 1. FC Cologne, 33800, NULL
2022, 11, 8, VfL Wolfsburg, 2:0, Borussia Dortmund, 28675, NULL
2022, 11, 8, Stuttgart, 2:1, Hertha BSC, 44500, NULL
2022, 11, 8, VfL Bochum, 2:1, Borussia Monchengladbach, 25900, NULL
2022, 11, 8, FC Bayern Munich, 6:1, Werder Bremen, 75000, NULL
2022, 11, 9, 1. FC Cologne, 1:2, Bayer 04 Leverkusen, 50000, NULL
2022, 11, 9, RB Leipzig, 3:1, Freiburg, 41240, NULL
2022, 11, 9, FC Schalke 04, 1:0, 1. FSV Mainz 05, 58256, NULL
2022, 11, 9, 1. FC Union Berlin, 2:2, FC Augsburg, 22012, NULL
2022, 11, 9, Eintracht Frankfurt, 4:2, TSG 1899 Hoffenheim, 49000, NULL
2022, 11, 11, Borussia Monchengladbach, 4:2, Borussia Dortmund, 54042, Borussia-Park
2022, 11, 12, TSG 1899 Hoffenheim, 1:2, VfL Wolfsburg, 18014, PreZero Arena
2022, 11, 12, FC Augsburg, 0:1, VfL Bochum, 28011, WWK Arena
2022, 11, 12, Hertha BSC, 2:0, 1. FC Cologne, 60827, Olympiastadion Berlin
2022, 11, 12, Werder Bremen, 1:2, RB Leipzig, 41500, Weser-Stadion
2022, 11, 12, Bayer 04 Leverkusen, 2:0, Stuttgart, 30210, BayArena
2022, 11, 12, FC Schalke 04, 0:2, FC Bayern Munich, 62271, Veltins-Arena
2022, 11, 13, 1. FSV Mainz 05, 1:1, Eintracht Frankfurt, 33305, Mewa Arena
2022, 11, 13, Freiburg, 4:1, 1. FC Union Berlin, 33800, NULL
